earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled
71530,11737,0.816,1297,67408,0.2375,0.7304,20500,Private Nonprofit,3,11.17787222110243,9.37058672111828,0.7660241224652905
51262,1382,0.6668,1034,57475,0.3757,0.5494,19000,Private Nonprofit,3,10.844705015934142,7.232010331664759,-1.007249381173087
51110,702,0.9093,1128,57157,0.3714,0.6461,20000,Private Nonprofit,3,10.841735451762323,6.555356891810665,-0.3734558095304729
60123,2428,0.7733,1213,57219,0.2395,0.64,18750,Private Nonprofit,3,11.004147742821536,7.795234929002173,0.19965539886976313
89363,9201,0.0769,1533,91250,0.1855,0.9513,14000,Private Nonprofit,3,11.400462005247592,9.127176130715414,2.357250536376534
53213,2603,0.5586,1117,51981,0.3804,0.6084,19313,Private Nonprofit,3,10.88205800638073,7.86480400332846,-0.44762314238226814
50369,1010,0.5093,1098,50091,0.2973,0.4504,13000,Private Nonprofit,3,10.827131185455466,6.918695219020472,-0.5757303536717326
54794,972,0.9291,956,49169,0.4835,0.472,15000,Private Nonprofit,3,10.911335977890648,6.880384082186005,-1.5331631959403622
48712,2849,0.9716,1011,35332,0.5132,0.3514,14667,Private Nonprofit,3,10.79368068528841,7.955074273262696,-1.162326531681386
60327,2561,0.9032,1002,43891,0.5152,0.5526,18750,Private Nonprofit,3,11.007535043694178,7.848543482456679,-1.2230088949237639
63926,1223,0.6529,1141,46239,0.3934,0.6682,16500,Private Nonprofit,3,11.06548144336906,7.1098794630722715,-0.28580350706926033
57103,2263,0.8588,1102,25521,0.3736,0.5321,14000,Public,3,10.952611933668509,7.724888439323074,-0.548760414452898
53390,8494,0.8688,1055,28329,0.3883,0.6241,17750,Public,3,10.885378741494232,9.047233034106032,-0.865657200274205
56346,8750,0.975,1100,28919,0.3266,0.5697,15500,Public,3,10.939266532032669,9.076923258535832,-0.5622453840623154
55700,820,0.8492,1157,35012,0.3458,0.5752,21358,Private Nonprofit,3,10.927735425915376,6.710523109452428,-0.17792375019392176
63756,2121,0.874,1380,59263,0.2171,0.8475,20000,Private Nonprofit,3,11.062818576238945,7.660114319173928,1.3256503612561092
48899,1057,0.7934,1035,51585,0.3626,0.5379,19500,Private Nonprofit,3,10.79751222535611,6.964135612418245,-1.0005068963683783
51833,13988,0.855,1160,26146,0.3471,0.6234,16904,Public,3,10.855782291044472,9.546026585476431,-0.1576962957797958
48860,1008,0.9766,1014,43885,0.3349,0.5322,19293,Private Nonprofit,3,10.79671434481173,6.9167150203536085,-1.1420990772672601
77235,4317,0.8508,1274,65970,0.1505,0.8038,22238,Private Nonprofit,3,11.254608001148352,8.370547611074752,0.6109469719569913
70527,1905,0.5719,1340,74320,0.1637,0.7469,24733,Private Nonprofit,3,11.163750894206132,7.552762084214147,1.0559509690677629
