earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment
68396,17940,0.6579,NA,41179,0.3157,0.7509,14334,1,8,11.133069622368483,9.794843875419385
22255,122,NA,NA,NA,0.5507,NA,4369,3,8,10.010321981449955,4.812184355372417
19347,98,NA,NA,NA,0.4773,NA,6028,3,8,9.870292647678488,4.59511985013459
41198,860,0.3234,NA,77560,0.2424,0.6667,16994,2,8,10.626144990470014,6.7580945044277305
94784,804,0.9501,NA,29853,0.251,0.5972,16889,1,8,11.459355897627471,6.690842277418564
50087,5175,NA,NA,9087,0.0951,NA,9272,1,8,10.821516772364003,8.551787836180736
49022,15832,NA,NA,11360,0.1848,NA,6375,1,8,10.800024455923422,9.669851648501433
24410,219,NA,NA,NA,0.5494,NA,6279,3,8,10.102748163387005,5.393627546352362
49854,758,0.4255,NA,NA,0.4916,0.7324,20245,2,8,10.816854012893037,6.63200177739563
32986,223,NA,NA,NA,0.3381,NA,6729,2,8,10.403838508008098,5.4116460518550396
32986,266,NA,NA,NA,0.5254,NA,6729,2,8,10.403838508008098,5.58724865840025
32986,130,NA,NA,NA,0.3086,NA,6729,2,8,10.403838508008098,4.875197323201151
32986,162,NA,NA,NA,0.5882,NA,6729,2,8,10.403838508008098,5.093750200806762
32986,142,NA,NA,NA,0.3651,NA,6729,2,8,10.403838508008098,4.962844630259907
32986,171,NA,NA,NA,0.4118,NA,6729,2,8,10.403838508008098,5.147494476813453
41156,18870,NA,NA,10236,0.3629,NA,8350,1,8,10.6251250034957,9.845381631129095
34963,3171,NA,NA,25300,0.1547,NA,5500,1,8,10.462045638444781,8.06211758275474
48143,11392,NA,NA,17456,0.2102,NA,8973,1,8,10.781931027633833,9.340754410698116
42975,18132,NA,NA,14451,0.2879,NA,4325,1,8,10.66837383025105,9.805488761654026
70070,7478,0.6543,1357,83146,0.1939,0.8188,17750,2,8,11.157250021364579,8.919854372191667
83438,282,0.3874,NA,39834,0.5359,0.2963,14750,2,8,11.331859120068113,5.645446897643238
65083,1536,0.6599,NA,58682,0.2423,0.5831,19000,2,8,11.083418657381783,7.337587743538596
49766,87,0.3081,NA,31745,0.45,0.1967,13000,2,8,10.81508729892216,4.477336814478207
42065,8286,NA,NA,13699,0.2988,NA,5500,1,8,10.646971319984914,9.022443300849043
45805,17348,NA,NA,16870,0.167,NA,7497,1,8,10.732148534449308,9.761290146826328
104736,1388,0.0959,1527,86500,0.181,0.9136,11948,2,8,11.559198177300907,7.236339342754344
32493,635,NA,NA,NA,0.7369,NA,7000,3,8,10.388779960503847,6.455198563340122
50098,226,NA,NA,NA,0.0883,NA,NA,1,8,10.821736366116445,5.424950017481403
44483,7393,NA,NA,24290,0.092,NA,7683,1,8,10.702862372693247,8.908424139496578
51017,455,0.5118,NA,35722,0.4974,0.2874,18334,3,8,10.839914189496584,6.1224928095143865
21208,109,NA,NA,NA,0.6632,NA,6333,3,8,9.962133747968862,4.700480365792417
39035,1984,NA,NA,19870,0.2837,NA,NA,1,8,10.572213958554391,7.59337419312129
42014,71,NA,NA,31890,0.4631,0.3723,13167,2,8,10.645758175055626,4.276666119016055
34181,3142,NA,NA,20447,0.2682,NA,6463,1,8,10.439425213116973,8.052933036797567
40850,5203,NA,NA,18422,0.2445,NA,4750,1,8,10.617662100288149,8.557182839632397
42446,14023,NA,NA,14202,0.2615,NA,8563,1,8,10.655987958795587,9.54852542660107
42553,5687,NA,NA,20282,0.1396,0.3128,NA,1,8,10.658505636804035,8.646113971483077
46047,7180,NA,NA,20192,0.1761,NA,9500,1,8,10.737417892981517,8.879193928110318
32435,7177,NA,NA,16690,0.2739,NA,5136,1,8,10.386993365647156,8.878776071707552
43533,13354,NA,NA,14290,0.3124,0.3728,7500,1,8,10.681274550159202,9.49964612554406
56596,15264,NA,NA,14975,0.1752,NA,6495,1,8,10.943693590315842,9.633317905168978
